customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
CUST_000001,CUST_000001,93810,Curitiba,MG
CUST_000002,CUST_000002,24592,Goiania,MG
CUST_000003,CUST_000003,13278,Sao Paulo,SC
CUST_000004,CUST_000004,46048,Uberlandia,SC
CUST_000005,CUST_000005,42098,Recife,SP
CUST_000006,CUST_000006,39256,Caucaia,GO
CUST_000007,CUST_000007,28289,Recife,RS
CUST_000008,CUST_000008,23434,Maringa,PE
CUST_000009,CUST_000009,98696,Uberlandia,GO
CUST_000010,CUST_000010,81482,Aparecida de Goiania,SC
CUST_000011,CUST_000011,21395,Blumenau,SC
CUST_000012,CUST_000012,87397,Recife,SP
CUST_000013,CUST_000013,65302,Petropolis,RS
CUST_000014,CUST_000014,14165,Olinda,RS
CUST_000015,CUST_000015,13905,Feira de Santana,PR
CUST_000016,CUST_000016,22280,Florianopolis,RJ
CUST_000017,CUST_000017,38657,Salvador,GO
CUST_000018,CUST_000018,40495,Feira de Santana,RJ
CUST_000019,CUST_000019,76237,Petropolis,CE
CUST_000020,CUST_000020,88907,Belo Horizonte,MG
CUST_000021,CUST_000021,13478,Salvador,BA
CUST_000022,CUST_000022,83563,Florianopolis,BA
CUST_000023,CUST_000023,36062,Recife,RS
CUST_000024,CUST_000024,95181,Curitiba,PE
CUST_000025,CUST_000025,81426,Joinville,RJ
CUST_000026,CUST_000026,64987,Fortaleza,PR
CUST_000027,CUST_000027,38893,Santos,PE
CUST_000028,CUST_000028,68878,Olinda,CE
CUST_000029,CUST_000029,87236,Niteroi,BA
CUST_000030,CUST_000030,46463,Salvador,GO
CUST_000031,CUST_000031,10851,Maringa,SC
CUST_000032,CUST_000032,30926,Salvador,GO
CUST_000033,CUST_000033,65392,Rio de Janeiro,SC
CUST_000034,CUST_000034,54597,Joinville,GO
CUST_000035,CUST_000035,46421,Caucaia,RJ
CUST_000036,CUST_000036,30379,Sorocaba,BA
CUST_000037,CUST_000037,38221,Caucaia,BA
CUST_000038,CUST_000038,54118,Olinda,PE
CUST_000039,CUST_000039,23396,Blumenau,GO
CUST_000040,CUST_000040,22156,Sao Paulo,MG
CUST_000041,CUST_000041,59797,Porto Alegre,PR
CUST_000042,CUST_000042,22676,Caucaia,GO
CUST_000043,CUST_000043,57052,Salvador,GO
CUST_000044,CUST_000044,55082,Aparecida de Goiania,RJ
CUST_000045,CUST_000045,89131,Olinda,MG
CUST_000046,CUST_000046,44671,Olinda,BA
CUST_000047,CUST_000047,15695,Campinas,RJ
CUST_000048,CUST_000048,70217,Pelotas,RS
CUST_000049,CUST_000049,80284,Maringa,PR
CUST_000050,CUST_000050,26361,Fortaleza,RJ
CUST_000051,CUST_000051,59615,Belo Horizonte,MG
CUST_000052,CUST_000052,20328,Londrina,BA
CUST_000053,CUST_000053,82357,Recife,MG
CUST_000054,CUST_000054,48427,Recife,CE
CUST_000055,CUST_000055,92397,Petropolis,SC
CUST_000056,CUST_000056,91070,Campinas,SC
CUST_000057,CUST_000057,57400,Aparecida de Goiania,GO
CUST_000058,CUST_000058,85674,Porto Alegre,MG
CUST_000059,CUST_000059,35203,Belo Horizonte,GO
CUST_000060,CUST_000060,19116,Londrina,SC
