order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ORD_000001,1,PROD_000387,SELL_000006,2024-03-14,477.63,46.12
ORD_000001,2,PROD_000341,SELL_000047,2024-01-10,295.84,18.73
ORD_000001,3,PROD_000422,SELL_000029,2024-08-31,442.82,21.91
ORD_000002,1,PROD_000107,SELL_000044,2024-04-04,216.13,33.15
ORD_000003,1,PROD_000049,SELL_000015,2024-03-08,240.46,8.55
ORD_000003,2,PROD_000239,SELL_000039,2024-06-03,362.9,6.08
ORD_000003,3,PROD_000497,SELL_000044,2024-03-10,142.47,20.52
ORD_000004,1,PROD_000300,SELL_000035,2024-06-29,64.85,6.67
ORD_000004,2,PROD_000055,SELL_000007,2024-10-22,337.03,19.39
ORD_000004,3,PROD_000477,SELL_000035,2024-10-25,461.87,9.09
ORD_000005,1,PROD_000277,SELL_000026,2024-12-26,149.91,32.3
ORD_000005,2,PROD_000275,SELL_000027,2024-05-11,244.7,24.26
ORD_000005,3,PROD_000450,SELL_000033,2024-12-12,216.44,14.63
ORD_000005,4,PROD_000195,SELL_000004,2024-01-06,255.1,17.12
ORD_000006,1,PROD_000133,SELL_000002,2024-09-19,377.11,24.72
ORD_000006,2,PROD_000337,SELL_000036,2024-02-16,488.59,9.93
ORD_000006,3,PROD_000017,SELL_000032,2024-05-30,313.66,30.53
ORD_000006,4,PROD_000044,SELL_000028,2024-06-03,31.37,23.16
ORD_000007,1,PROD_000478,SELL_000050,2024-04-14,202.59,48.29
ORD_000007,2,PROD_000321,SELL_000009,2024-04-12,394.86,49.08
ORD_000007,3,PROD_000143,SELL_000035,2024-05-18,259.83,17.17
ORD_000007,4,PROD_000484,SELL_000003,2024-09-16,87.28,15.08
ORD_000007,5,PROD_000495,SELL_000034,2024-07-30,166.09,24.43
ORD_000008,1,PROD_000366,SELL_000001,2024-03-28,42.3,12.49
ORD_000008,2,PROD_000381,SELL_000047,2024-09-09,346.3,38.41
ORD_000009,1,PROD_000184,SELL_000022,2024-01-02,440.54,39.26
ORD_000010,1,PROD_000032,SELL_000002,2024-01-11,278.79,21.96
ORD_000011,1,PROD_000381,SELL_000046,2024-07-26,232.18,31.72
ORD_000011,2,PROD_000314,SELL_000001,2024-01-03,262.92,30.73
ORD_000011,3,PROD_000399,SELL_000037,2024-02-17,69.45,10.36
ORD_000012,1,PROD_000012,SELL_000038,2024-02-18,198.4,38.88
ORD_000013,1,PROD_000421,SELL_000016,2024-03-13,345.9,14.07
ORD_000013,2,PROD_000234,SELL_000048,2024-10-25,339.89,47.53
ORD_000014,1,PROD_000373,SELL_000030,2024-11-13,31.92,5.4
ORD_000014,2,PROD_000408,SELL_000047,2024-06-22,157.1,49.5
ORD_000014,3,PROD_000487,SELL_000006,2024-10-08,218.38,50.0
ORD_000014,4,PROD_000199,SELL_000016,2024-01-22,34.82,46.46
ORD_000014,5,PROD_000418,SELL_000038,2024-09-21,145.89,14.86
ORD_000015,1,PROD_000061,SELL_000007,2024-05-06,477.02,8.71
ORD_000015,2,PROD_000050,SELL_000034,2024-02-14,165.99,34.8
ORD_000015,3,PROD_000285,SELL_000042,2024-07-09,350.21,19.84
ORD_000015,4,PROD_000073,SELL_000049,2024-10-21,481.8,18.91
ORD_000016,1,PROD_000097,SELL_000041,2024-05-14,404.41,34.91
ORD_000017,1,PROD_000186,SELL_000014,2024-06-15,383.69,17.5
ORD_000018,1,PROD_000016,SELL_000029,2024-06-14,193.78,30.86
ORD_000018,2,PROD_000306,SELL_000017,2024-05-26,295.18,36.68
ORD_000018,3,PROD_000442,SELL_000026,2024-08-10,226.39,37.23
ORD_000018,4,PROD_000049,SELL_000004,2024-10-09,77.59,44.66
ORD_000019,1,PROD_000415,SELL_000009,2024-12-28,387.3,45.96
ORD_000020,1,PROD_000078,SELL_000009,2024-12-01,119.02,25.1
ORD_000020,2,PROD_000473,SELL_000050,2024-05-28,484.39,11.72
ORD_000020,3,PROD_000457,SELL_000026,2024-03-14,26.5,20.6
ORD_000020,4,PROD_000455,SELL_000005,2024-09-12,138.42,19.61
ORD_000020,5,PROD_000070,SELL_000030,2024-04-27,396.94,21.13
ORD_000021,1,PROD_000211,SELL_000020,2024-03-23,476.01,15.0
ORD_000021,2,PROD_000233,SELL_000002,2024-01-06,154.38,12.18
ORD_000022,1,PROD_000396,SELL_000036,2024-03-13,280.31,19.94
ORD_000023,1,PROD_000060,SELL_000044,2024-08-03,469.75,33.28
ORD_000023,2,PROD_000403,SELL_000041,2024-06-17,179.52,5.81
ORD_000023,3,PROD_000341,SELL_000026,2024-02-29,442.85,7.74
ORD_000023,4,PROD_000309,SELL_000012,2024-04-23,37.14,24.19
ORD_000023,5,PROD_000013,SELL_000004,2024-02-14,72.62,15.9
ORD_000024,1,PROD_000235,SELL_000006,2024-01-17,53.97,44.55
ORD_000024,2,PROD_000465,SELL_000012,2024-04-13,491.97,10.72
ORD_000025,1,PROD_000036,SELL_000023,2024-02-16,71.3,34.47
ORD_000025,2,PROD_000136,SELL_000035,2024-07-11,15.65,38.09
ORD_000025,3,PROD_000223,SELL_000049,2024-06-16,119.95,41.67
ORD_000025,4,PROD_000457,SELL_000047,2024-05-13,162.91,37.64
ORD_000026,1,PROD_000336,SELL_000012,2024-03-15,489.45,23.85
ORD_000026,2,PROD_000113,SELL_000041,2024-06-03,197.58,48.49
ORD_000026,3,PROD_000055,SELL_000040,2024-02-16,173.12,5.31
ORD_000027,1,PROD_000369,SELL_000048,2024-11-17,491.69,48.38
ORD_000027,2,PROD_000159,SELL_000032,2024-03-18,137.14,20.74
ORD_000027,3,PROD_000493,SELL_000027,2024-02-13,250.67,23.44
ORD_000027,4,PROD_000087,SELL_000011,2024-06-12,380.86,38.73
ORD_000028,1,PROD_000423,SELL_000030,2024-12-09,476.83,22.74
ORD_000028,2,PROD_000002,SELL_000033,2024-07-20,425.18,36.66
ORD_000029,1,PROD_000479,SELL_000023,2024-12-24,393.75,47.87
ORD_000029,2,PROD_000439,SELL_000009,2024-05-22,491.95,48.04
ORD_000029,3,PROD_000319,SELL_000029,2024-07-29,427.63,24.89
ORD_000029,4,PROD_000439,SELL_000018,2024-11-16,153.79,26.02
ORD_000030,1,PROD_000340,SELL_000011,2024-10-24,39.44,14.35
ORD_000031,1,PROD_000019,SELL_000027,2024-02-26,405.08,18.65
ORD_000032,1,PROD_000248,SELL_000020,2024-03-16,71.52,19.09
ORD_000032,2,PROD_000140,SELL_000014,2024-06-07,36.29,37.67
ORD_000032,3,PROD_000450,SELL_000048,2024-07-13,278.37,47.64
ORD_000032,4,PROD_000078,SELL_000006,2024-06-22,397.41,24.48
ORD_000032,5,PROD_000130,SELL_000039,2024-07-02,90.18,16.56
ORD_000033,1,PROD_000009,SELL_000026,2024-12-04,348.57,41.05
ORD_000033,2,PROD_000330,SELL_000006,2024-03-05,59.53,36.96
ORD_000034,1,PROD_000397,SELL_000013,2024-10-07,279.71,28.9
ORD_000034,2,PROD_000238,SELL_000016,2024-01-03,430.02,24.31
ORD_000034,3,PROD_000158,SELL_000015,2024-06-22,341.81,40.5
ORD_000034,4,PROD_000257,SELL_000033,2024-04-02,364.77,28.77
ORD_000035,1,PROD_000301,SELL_000027,2024-10-02,21.37,23.23
ORD_000035,2,PROD_000133,SELL_000050,2024-01-11,180.19,9.43
ORD_000035,3,PROD_000052,SELL_000003,2024-04-04,54.64,41.68
ORD_000036,1,PROD_000160,SELL_000013,2024-12-03,377.38,8.7
ORD_000036,2,PROD_000372,SELL_000012,2024-05-07,432.96,10.33
ORD_000036,3,PROD_000206,SELL_000004,2024-06-09,309.54,47.8
ORD_000037,1,PROD_000003,SELL_000016,2024-09-12,79.72,37.11
