order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD_000001,1,credit_card,1,1216.29
ORD_000002,1,credit_card,3,216.13
ORD_000003,1,debit_card,1,745.83
ORD_000004,1,debit_card,3,863.75
ORD_000005,1,boleto,3,866.15
ORD_000006,1,debit_card,6,1210.73
ORD_000007,1,boleto,3,1110.65
ORD_000008,1,voucher,1,388.6
ORD_000009,1,credit_card,1,440.54
ORD_000010,1,debit_card,6,278.79
ORD_000011,1,boleto,3,564.55
ORD_000012,1,credit_card,3,198.4
ORD_000013,1,credit_card,5,685.79
ORD_000014,1,boleto,1,588.11
ORD_000015,1,voucher,6,1475.02
ORD_000016,1,boleto,3,404.41
ORD_000017,1,voucher,1,383.69
ORD_000018,1,boleto,3,792.94
ORD_000019,1,debit_card,5,387.3
ORD_000020,1,debit_card,10,1165.27
ORD_000021,1,credit_card,5,630.39
ORD_000022,1,debit_card,2,280.31
ORD_000023,1,credit_card,4,1201.88
ORD_000024,1,debit_card,1,545.94
ORD_000025,1,credit_card,2,369.81
ORD_000026,1,credit_card,10,860.15
ORD_000027,1,voucher,1,1260.36
ORD_000028,1,voucher,3,902.01
ORD_000029,1,debit_card,1,1467.12
ORD_000030,1,credit_card,4,39.44
ORD_000031,1,credit_card,6,405.08
ORD_000032,1,credit_card,5,873.77
ORD_000033,1,credit_card,1,408.1
ORD_000034,1,credit_card,4,1416.31
ORD_000035,1,credit_card,1,256.2
ORD_000036,1,voucher,1,1119.88
ORD_000037,1,debit_card,3,530.59
ORD_000038,1,credit_card,12,469.8
ORD_000039,1,credit_card,10,1311.23
ORD_000040,1,debit_card,3,959.91
ORD_000041,1,credit_card,1,706.6
ORD_000042,1,credit_card,2,1060.9
ORD_000043,1,voucher,10,547.65
ORD_000044,1,debit_card,3,1543.0
ORD_000045,1,credit_card,2,700.02
ORD_000046,1,voucher,2,1096.1
ORD_000047,1,voucher,5,570.85
ORD_000048,1,credit_card,3,32.75
ORD_000049,1,boleto,4,1159.11
ORD_000050,1,debit_card,4,82.21
ORD_000051,1,voucher,5,384.19
ORD_000052,1,credit_card,1,717.81
ORD_000053,1,boleto,1,526.67
ORD_000054,1,credit_card,12,453.86
ORD_000055,1,debit_card,1,215.36
ORD_000056,1,debit_card,5,1425.51
ORD_000057,1,boleto,1,741.56
ORD_000058,1,debit_card,5,155.29
ORD_000059,1,credit_card,1,598.33
ORD_000060,1,boleto,1,1134.92
ORD_000061,1,voucher,3,1085.66
ORD_000062,1,voucher,1,902.7
ORD_000063,1,boleto,10,1062.91
ORD_000064,1,debit_card,1,882.78
ORD_000065,1,boleto,3,472.41
ORD_000066,1,credit_card,1,419.6
ORD_000067,1,credit_card,2,739.19
ORD_000068,1,debit_card,1,13.85
ORD_000069,1,voucher,4,432.84
ORD_000070,1,voucher,2,625.59
ORD_000071,1,credit_card,1,444.68
ORD_000072,1,voucher,4,680.5
ORD_000073,1,boleto,4,1360.28
ORD_000074,1,credit_card,1,1620.37
ORD_000075,1,credit_card,10,856.11
ORD_000076,1,voucher,1,1450.84
ORD_000077,1,debit_card,2,290.49
ORD_000078,1,credit_card,6,608.88
ORD_000079,1,boleto,5,717.54
ORD_000080,1,boleto,4,1173.86
ORD_000081,1,debit_card,1,501.21
ORD_000082,1,boleto,1,499.91
ORD_000083,1,debit_card,4,432.49
ORD_000084,1,credit_card,12,1140.63
ORD_000085,1,credit_card,1,888.26
ORD_000086,1,boleto,1,230.81
ORD_000087,1,boleto,6,996.71
ORD_000088,1,credit_card,1,1328.58
ORD_000089,1,voucher,1,1245.51
ORD_000090,1,voucher,10,361.04
ORD_000091,1,boleto,6,1192.46
ORD_000092,1,voucher,10,949.33
ORD_000093,1,debit_card,3,896.88
ORD_000094,1,credit_card,3,214.58
ORD_000095,1,voucher,2,1242.03
ORD_000096,1,credit_card,3,191.66
ORD_000097,1,credit_card,1,1404.01
ORD_000098,1,credit_card,12,389.91
ORD_000099,1,voucher,4,66.19
ORD_000100,1,credit_card,6,1495.7
ORD_000101,1,credit_card,10,998.64
ORD_000102,1,credit_card,1,521.18
