product_id,product_category_name,product_name_lgt,product_weight_lg,product_length_cm,product_height_cm,product_width_cm
PROD_000001,beauty,Product 1,18.74,5.8,18.1,23.3
PROD_000002,phones,Product 2,17.53,24.0,4.1,32.8
PROD_000003,baby,Product 3,5.63,6.2,12.7,36.0
PROD_000004,health,Product 4,17.04,48.5,12.3,17.1
PROD_000005,bed_bath_table,Product 5,0.11,10.7,7.1,21.2
PROD_000006,computers,Product 6,0.45,36.8,14.2,19.5
PROD_000007,beauty,Product 7,12.09,48.8,11.3,5.5
PROD_000008,computers,Product 8,7.36,42.2,11.6,15.4
PROD_000009,home_furniture,Product 9,7.79,36.5,22.7,21.1
PROD_000010,home_furniture,Product 10,11.33,42.8,8.3,19.4
PROD_000011,bed_bath_table,Product 11,3.92,49.2,20.0,30.3
PROD_000012,books,Product 12,4.31,33.0,18.0,18.5
PROD_000013,sports,Product 13,9.74,30.2,17.9,22.1
PROD_000014,food,Product 14,15.11,33.3,20.6,20.0
PROD_000015,electronics,Product 15,12.43,29.0,17.4,30.9
PROD_000016,sports,Product 16,6.02,33.6,26.6,35.2
PROD_000017,computers,Product 17,8.66,25.2,20.9,23.6
PROD_000018,computers,Product 18,3.5,14.8,17.3,32.6
PROD_000019,fashion,Product 19,1.59,10.4,25.2,15.4
PROD_000020,baby,Product 20,15.68,8.1,19.0,23.9
PROD_000021,beauty,Product 21,5.38,16.8,10.2,17.1
PROD_000022,health,Product 22,3.64,7.1,7.8,19.5
PROD_000023,computers,Product 23,13.86,30.5,6.3,30.6
PROD_000024,home_furniture,Product 24,12.4,17.8,27.2,35.9
PROD_000025,baby,Product 25,12.7,42.1,21.9,9.3
PROD_000026,home_furniture,Product 26,4.66,8.3,28.2,27.2
PROD_000027,garden,Product 27,4.73,15.2,18.9,25.4
PROD_000028,sports,Product 28,4.49,37.9,15.3,9.1
PROD_000029,garden,Product 29,3.56,31.9,3.7,12.4
PROD_000030,phones,Product 30,13.15,7.9,20.8,15.9
PROD_000031,health,Product 31,16.98,44.5,18.3,10.8
PROD_000032,computers,Product 32,14.51,44.5,29.7,13.5
PROD_000033,home_furniture,Product 33,15.86,19.9,8.7,14.4
PROD_000034,toys,Product 34,8.16,20.3,16.9,16.7
PROD_000035,auto,Product 35,13.12,49.5,20.2,31.2
PROD_000036,fashion,Product 36,7.15,33.2,20.0,25.0
PROD_000037,garden,Product 37,10.56,28.9,17.7,39.5
PROD_000038,electronics,Product 38,9.68,42.7,23.8,19.5
PROD_000039,auto,Product 39,3.62,17.8,7.7,31.4
PROD_000040,health,Product 40,7.8,24.3,22.3,35.5
PROD_000041,electronics,Product 41,19.28,17.0,19.4,28.8
PROD_000042,books,Product 42,5.05,40.5,27.1,19.4
PROD_000043,baby,Product 43,2.76,30.8,25.7,31.4
PROD_000044,garden,Product 44,8.43,34.6,10.8,12.1
PROD_000045,food,Product 45,15.83,16.4,9.7,16.5
PROD_000046,auto,Product 46,11.68,14.9,29.5,24.1
PROD_000047,health,Product 47,13.65,27.0,16.8,25.1
PROD_000048,health,Product 48,3.87,38.2,27.4,5.8
PROD_000049,books,Product 49,12.42,28.6,6.6,38.1
PROD_000050,garden,Product 50,6.54,6.5,20.0,29.4
PROD_000051,food,Product 51,16.7,44.1,24.7,22.3
PROD_000052,health,Product 52,12.62,7.9,28.5,37.7
PROD_000053,bed_bath_table,Product 53,4.06,48.0,11.4,20.4
PROD_000054,health,Product 54,1.39,6.1,22.3,39.3
PROD_000055,home_furniture,Product 55,0.95,36.3,17.1,22.9
PROD_000056,phones,Product 56,7.49,8.7,3.7,9.0
PROD_000057,phones,Product 57,5.39,46.0,21.3,31.8
PROD_000058,garden,Product 58,12.96,25.9,21.3,28.8
PROD_000059,electronics,Product 59,10.04,11.2,28.1,32.1
PROD_000060,fashion,Product 60,5.39,20.3,15.9,38.3
PROD_000061,fashion,Product 61,3.07,12.4,8.4,32.2
PROD_000062,bed_bath_table,Product 62,2.63,12.7,3.2,26.4
PROD_000063,computers,Product 63,17.31,47.7,13.6,35.0
PROD_000064,health,Product 64,4.95,25.0,10.5,28.6
PROD_000065,beauty,Product 65,13.07,40.5,23.3,19.3
PROD_000066,auto,Product 66,16.23,33.8,11.9,36.0
PROD_000067,beauty,Product 67,12.32,35.4,28.6,12.8
PROD_000068,garden,Product 68,17.21,10.9,28.9,30.0
PROD_000069,sports,Product 69,7.91,15.5,19.4,35.9
PROD_000070,sports,Product 70,19.13,40.4,28.0,30.6
PROD_000071,health,Product 71,2.75,48.7,23.3,29.4
PROD_000072,baby,Product 72,2.13,16.8,17.3,31.3
PROD_000073,fashion,Product 73,13.21,17.2,7.0,21.3
PROD_000074,home_furniture,Product 74,18.86,26.3,14.8,35.6
PROD_000075,food,Product 75,16.2,49.3,17.7,12.1
PROD_000076,health,Product 76,1.62,17.1,26.2,9.5
PROD_000077,food,Product 77,5.66,23.3,15.5,15.0
PROD_000078,fashion,Product 78,18.61,45.1,27.1,23.6
PROD_000079,books,Product 79,5.14,5.1,20.9,22.9
PROD_000080,computers,Product 80,15.65,6.8,5.8,33.7
PROD_000081,computers,Product 81,16.52,32.2,29.9,19.2
PROD_000082,baby,Product 82,9.96,45.8,16.8,22.0
PROD_000083,electronics,Product 83,7.79,15.7,13.0,5.5
PROD_000084,baby,Product 84,9.06,26.1,20.5,19.3
PROD_000085,books,Product 85,4.62,25.3,5.0,27.7
PROD_000086,phones,Product 86,17.8,26.3,19.8,5.5
PROD_000087,books,Product 87,9.07,33.0,16.0,14.8
PROD_000088,electronics,Product 88,17.66,26.1,13.4,12.3
PROD_000089,baby,Product 89,2.2,25.1,28.7,6.5
PROD_000090,health,Product 90,19.77,26.3,16.6,21.8
PROD_000091,food,Product 91,8.92,31.6,8.1,11.4
PROD_000092,fashion,Product 92,1.05,29.2,14.9,31.0
PROD_000093,sports,Product 93,0.86,43.4,27.7,34.7
PROD_000094,bed_bath_table,Product 94,14.95,7.2,6.9,24.1
PROD_000095,food,Product 95,13.21,42.5,8.0,39.4
PROD_000096,beauty,Product 96,16.06,43.0,2.4,20.8
PROD_000097,electronics,Product 97,2.2,17.8,2.4,23.0
PROD_000098,books,Product 98,0.81,25.8,25.2,39.6
PROD_000099,books,Product 99,10.22,24.7,22.5,13.1
PROD_000100,home_furniture,Product 100,7.81,14.8,11.9,38.0
