seller_id,seller_zip_code_prefix,seller_city,seller_state
SELL_000001,41483,Belo Horizonte,RJ
SELL_000002,82199,Belo Horizonte,RS
SELL_000003,94311,Sao Paulo,CE
SELL_000004,19867,Belo Horizonte,SC
SELL_000005,17798,Rio de Janeiro,GO
SELL_000006,91446,Sao Paulo,SP
SELL_000007,73271,Belo Horizonte,CE
SELL_000008,90756,Sao Paulo,PE
SELL_000009,50575,Rio de Janeiro,RJ
SELL_000010,22948,Belo Horizonte,SC
SELL_000011,93137,Belo Horizonte,PE
SELL_000012,28932,Rio de Janeiro,MG
SELL_000013,28900,Sao Paulo,MG
SELL_000014,46313,Rio de Janeiro,RJ
SELL_000015,81301,Sao Paulo,SP
SELL_000016,71029,Sao Paulo,PR
SELL_000017,13691,Curitiba,BA
SELL_000018,86989,Rio de Janeiro,PR
SELL_000019,83140,Belo Horizonte,SC
SELL_000020,72215,Belo Horizonte,RJ
SELL_000021,29794,Rio de Janeiro,PE
SELL_000022,61088,Sao Paulo,RJ
SELL_000023,43522,Curitiba,GO
SELL_000024,85279,Rio de Janeiro,MG
SELL_000025,63329,Belo Horizonte,CE
SELL_000026,36828,Sao Paulo,RJ
SELL_000027,34029,Sao Paulo,PE
SELL_000028,33259,Curitiba,SP
SELL_000029,58915,Belo Horizonte,PE
SELL_000030,20240,Belo Horizonte,PR
SELL_000031,75012,Curitiba,PR
SELL_000032,49131,Sao Paulo,RS
SELL_000033,28894,Sao Paulo,SC
SELL_000034,34316,Sao Paulo,SP
SELL_000035,47960,Belo Horizonte,MG
SELL_000036,11833,Rio de Janeiro,RS
SELL_000037,44736,Rio de Janeiro,PR
SELL_000038,94631,Curitiba,PR
SELL_000039,98270,Sao Paulo,MG
SELL_000040,38047,Sao Paulo,MG
SELL_000041,32595,Belo Horizonte,BA
SELL_000042,64947,Rio de Janeiro,MG
SELL_000043,23065,Belo Horizonte,RJ
SELL_000044,24140,Sao Paulo,SC
SELL_000045,79936,Rio de Janeiro,SP
SELL_000046,91508,Sao Paulo,MG
SELL_000047,16765,Belo Horizonte,BA
SELL_000048,14645,Rio de Janeiro,MG
SELL_000049,35220,Rio de Janeiro,RS
SELL_000050,50039,Sao Paulo,GO
